Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series D - High Fidelity,https://www.crunchbase.com/funding_round/high-fidelity-series-d--df359511,High Fidelity,https://www.crunchbase.com/organization/high-fidelity,Series D,35000000,USD,35000000,2018-06-28,"Blockchain Capital, Breyer Capital, Galaxy Digital LP, GV, IDG Capital, SVK Crypto, Vulcan Capital"
Venture Round - Celo,https://www.crunchbase.com/funding_round/celo-3846-series-unknown--05dbceec,Celo,https://www.crunchbase.com/organization/celo-3846,Venture - Series Unknown,6500000,USD,6500000,2018-06-25,"Andreessen Horowitz, Arianna Simpson, Coinbase Ventures, Curious Endeavors, Elad Gil, General Catalyst, Jack Dorsey, Julia Popowitz, Kilowatt Capital LLC, Lakestar, Linda Xie, Naval Ravikant, Nima Capital, Nitesh Banta, Polychain, R&R Ventures, Reid Hoffman, Social Capital, SV Angel, Tanguy Chau, Version One Ventures, Vijay Pandurangan, Warren Hogarth"
Seed Round - Fluidity,https://www.crunchbase.com/funding_round/fluidity-seed--e49b05f7,Fluidity,https://www.crunchbase.com/organization/fluidity,Seed,,,,2017-09-01,"Amitt Mahajan, Andrew Masanto, Bill Tai, Brock Pierce, Eric Greenberg, Ibrahim AlHusseini, Justin Waldron, Mike Novogratz"
Pre Seed Round - Lendflo,https://www.crunchbase.com/funding_round/lendflo-pre-seed--8164a793,Lendflo,https://www.crunchbase.com/organization/lendflo,Pre-Seed,112000,GBP,145040,2017-09-01,"Florian Reike, H-FARM, James McCann, Nakamo.to"
Pre Seed Round - FOHAT,https://www.crunchbase.com/funding_round/fohat-pre-seed--5b0fd5ab,FOHAT,https://www.crunchbase.com/organization/fohat,Pre-Seed,1775500,BRL,537460,2018-04-01,"Carlos Pacheco, SAFIRA ENERGIA, Startupbootcamp, Startupbootcamp Energy Australia"
Angel Round - BiShiJie.com,https://www.crunchbase.com/funding_round/bishijie-com-angel--2be0ae3a,BiShiJie.com,https://www.crunchbase.com/organization/bishijie-com,Angel,,,,2018-03-13,"FREES FUND, ZhenFund"
Non Equity Assistance - AID:Tech,https://www.crunchbase.com/funding_round/aid-tech-non-equity-assistance--767eab97,AID:Tech,https://www.crunchbase.com/organization/aid-tech,Non-equity Assistance,,,,2017-09-15,Monetary Authority of Singapore
Venture Round - OMNY,https://www.crunchbase.com/funding_round/omny-series-unknown--fa1fbf95,OMNY,https://www.crunchbase.com/organization/omny,Venture - Series Unknown,,,,2018-02-01,"DNA Capital, Jeff Parks, Jonathan Weiner, Kevin Ryan, Merus Capital, Othman Laraki, Roger Bamford, Social Capital, SpringRock Ventures, StartX (Stanford-StartX Fund), Tuhaye Venture Partners"
Convertible Note - authentic.network,https://www.crunchbase.com/funding_round/authentic-network-convertible-note--680aa82d,authentic.network,https://www.crunchbase.com/organization/authentic-network,Convertible Note,1000000,EUR,1232895,2018-03-31,"Amentory Venture, WEGVISOR"
Initial Coin Offering - Zilliqa,https://www.crunchbase.com/funding_round/zilliqa-initial-coin-offering--6c7071d1,Zilliqa,https://www.crunchbase.com/organization/zilliqa,Initial Coin Offering,,,,2017-12-01,Kenetic
Initial Coin Offering - Mainframe,https://www.crunchbase.com/funding_round/mainframe-2-initial-coin-offering--144de493,Mainframe,https://www.crunchbase.com/organization/mainframe-2,Initial Coin Offering,,,,2018-03-01,Kenetic
Initial Coin Offering - Solana,https://www.crunchbase.com/funding_round/solana-io-initial-coin-offering--231cc645,Solana,https://www.crunchbase.com/organization/solana-io,Initial Coin Offering,,,,2018-04-01,Kenetic
Initial Coin Offering - Oasis Labs,https://www.crunchbase.com/funding_round/oasis-labs-initial-coin-offering--bb68f36c,Oasis Labs,https://www.crunchbase.com/organization/oasis-labs,Initial Coin Offering,,,,2018-05-31,Kenetic
Initial Coin Offering - CertiK,https://www.crunchbase.com/funding_round/certik-initial-coin-offering--15e49a6a,CertiK,https://www.crunchbase.com/organization/certik,Initial Coin Offering,,,,2018-06-25,Kenetic
Initial Coin Offering - Quantstamp,https://www.crunchbase.com/funding_round/quantstamp-technologies-initial-coin-offering--5ceffce5,Quantstamp,https://www.crunchbase.com/organization/quantstamp-technologies,Initial Coin Offering,,,,2017-10-01,Kenetic
Initial Coin Offering - NuCypher,https://www.crunchbase.com/funding_round/nucypher-initial-coin-offering--d7cfe51b,NuCypher,https://www.crunchbase.com/organization/nucypher,Initial Coin Offering,,,,2017-10-30,Kenetic
