Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series A - Pryon,https://www.crunchbase.com/funding_round/pryon-series-a--4adb4415,Pryon,https://www.crunchbase.com/organization/pryon,Series A,20000000,USD,20000000,2019-06-11,"BootstrapLabs, Breyer Capital, Digital Alpha Advisors, Engage Ventures, Good Growth Capital, Greycroft, Plug and Play, Rise of the Rest, Stanford University Venture Fund, Two Sigma Ventures"
Series C - TrapX Security,https://www.crunchbase.com/funding_round/trapx-security-series-c--37b7334f,TrapX Security,https://www.crunchbase.com/organization/trapx-security,Series C,18000000,USD,18000000,2019-07-01,"BRM Capital, Ibex Investors, Intel Capital, Liberty Technology Venture Capital, Opus Capital, Strategic Cyber Ventures"
Series B - GreatHorn,https://www.crunchbase.com/funding_round/greathorn-series-b--de52d16a,GreatHorn,https://www.crunchbase.com/organization/greathorn,Series B,13000000,USD,13000000,2019-06-26,".406 Ventures, RRE Ventures, Techstars Ventures, Uncork Capital, v1.vc"
Seed Round - Nebulous (Sia & Obelisk),https://www.crunchbase.com/funding_round/nebulous-llc-seed--d0c2f2c9,Nebulous (Sia & Obelisk),https://www.crunchbase.com/organization/nebulous-llc,Seed,3500000,USD,3500000,2019-07-10,"A.Capital Ventures, Bain Capital Ventures, Bessemer Venture Partners, Collaborative Fund, Dragonfly Capital Partners, Hack VC, INBlockchain, SV Angel"
Series A - DUST Identity,https://www.crunchbase.com/funding_round/dust-identity-series-a--376176bf,DUST Identity,https://www.crunchbase.com/organization/dust-identity,Series A,10000000,USD,10000000,2019-07-17,"Airbus Ventures, Angular Ventures, Castle Island Ventures, Kleiner Perkins, Lockheed Martin Ventures, New Science Ventures"
Series E - Vectra AI,https://www.crunchbase.com/funding_round/vectra-networks-series-e--f763f838,Vectra AI,https://www.crunchbase.com/organization/vectra-networks,Series E,100000000,USD,100000000,2019-06-10,"Accel, Khosla Ventures, TCV"
Seed Round - Ockam,https://www.crunchbase.com/funding_round/ockam-seed--76125427,Ockam,https://www.crunchbase.com/organization/ockam,Seed,3200000,USD,3200000,2019-06-20,"Core Ventures Group, Future Ventures, Okta Ventures, SGH CAPITAL"
Series B - NowSecure,https://www.crunchbase.com/funding_round/nowsecure-series-b--c7466b3b,NowSecure,https://www.crunchbase.com/organization/nowsecure,Series B,15000000,USD,15000000,2019-06-28,"Baird Capital, ForgePoint Capital, Jump Capital, MATH Venture Partners"
Seed Round - Polyrize,https://www.crunchbase.com/funding_round/polyrize-seed--00907425,Polyrize,https://www.crunchbase.com/organization/polyrize,Seed,4000000,USD,4000000,2019-07-02,"Glilot Capital Partners, Saban Ventures"
Series B - Cobalt,https://www.crunchbase.com/funding_round/cobalt-robotics-inc-series-b--e37d3f5d,Cobalt,https://www.crunchbase.com/organization/cobalt-robotics-inc,Series B,36800000,USD,36800000,2019-06-25,"Coatue Management, Fifth Wall, Sequoia Capital"
Series A - Valtix,https://www.crunchbase.com/funding_round/valtix-series-a--8cc470a6,Valtix,https://www.crunchbase.com/organization/valtix,Series A,14000000,USD,14000000,2019-06-19,"Trinity Ventures, Vertex US, Vertex Ventures, Wing Venture Capital"
