"Assigned_Breach_Number",Date_Reported_To_OCA,Organization_Name,"Breach_Type_Description","Breach_Occur_at_the_Reporting_Entity?","MA_Residents_Affected",SSN_Breached,"Account_Number_Breached","Drivers_Licenses_Breached","Credit_Debit_Numbers_Breached","Provided_Credit_Monitoring","Data_Encrypted","Mobile_Device_Lost_Stolen"
10272,1/2/2017,"American Express Travel RelatedServices, Inc.",Electronic,,11,,,,Yes,,,
10273,1/2/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,213,,,,Yes,,,
10274,1/3/2017,Salem Five,Electronic,,6,,,,Yes,,,
10275,1/3/2017,Eagle Bank,Electronic,,3,,,,Yes,,,
10276,1/3/2017,Bank of America,Undefined,Yes,2,Yes,Yes,,,Yes,,
10277,1/3/2017,Edgework Consulting,Electronic,Yes,50,Yes,,,,,,Yes
10533,1/3/2017,The Village Bank,Electronic,,1,,,,Yes,,,
10535,1/3/2017,The Village Bank,Electronic,,6,,,,Yes,,,
10537,1/3/2017,The Village Bank,Electronic,,3,,,,Yes,,,
10543,1/3/2017,The Village Bank,Electronic,,1,,,,Yes,,,
10544,1/4/2017,The Village Bank,Electronic,,3,,,,Yes,,,
10545,1/4/2017,The Village Bank,Electronic,,1,,,,Yes,,,
10546,1/4/2017,The Village Bank,Electronic,,1,,,,Yes,,,
10278,1/4/2017,MED-PASS,Electronic,Yes,1,,,,Yes,Yes,,
10279,1/4/2017,Webster Five,Electronic,,1289,,,,Yes,,,
10280,1/4/2017,Webster Five,Electronic,Yes,5,,Yes,,Yes,,,
10281,1/4/2017,Webster Five,Electronic,,28,,,,Yes,,,
10282,1/4/2017,"American PharmacistsAssociation",Electronic,Yes,4,,,,Yes,Yes,,
10283,1/4/2017,Belmont Savings Bank,Paper,,1,,Yes,,,,,
10285,1/4/2017,Fidelity Investments,Electronic,Yes,1,,Yes,,,Yes,,
10287,1/5/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,12,,,,Yes,,,
10288,1/5/2017,"American Express Travel RelatedServices, Inc.",Electronic,,49,,,,Yes,,,
10289,1/5/2017,PCC Technology,Electronic,Yes,2,Yes,,,,Yes,,Yes
10290,1/5/2017,Bank of America,Paper,Yes,2,,Yes,,,Yes,,
10291,1/5/2017,Massachusetts General Hospital,Paper,Yes,1,Yes,,,,,,
10292,1/5/2017,Massachusetts General Hospital,Paper,Yes,1,,Yes,,,,,
10293,1/6/2017,"American Express Travel RelatedServices, Inc.",Electronic,,18,,,,Yes,,,
10294,1/6/2017,R&A Design d/b/a/ Unison Home,Electronic,Yes,46,,,,Yes,Yes,,
10295,1/6/2017,"Legal Aid Society of OrangeCounty",Electronic,Yes,2,Yes,Yes,,,Yes,,
10296,1/9/2017,People's United Bank,Paper,Yes,2,Yes,Yes,,,Yes,,
10297,1/9/2017,Family Service Association,Paper,Yes,278,Yes,,,,,,
