ID,organization,state,industry,exposure,records
ITRC20170504-04,McDavidInc.,IL,Business,Yes - Published #,4777
ITRC20170504-05,MSA AccountingCPA Professional Corp.,CA,Business,Yes - Unknown #,Unknown
ITRC20170504-06,Zinc Auto FinanceInc.,CA,Business,Yes - Unknown #,Unknown
ITRC20170504-07,Sabre Hospitality Solutions / SynXis / 36000 Hotels nat,TX,Business,Yes - Unknown #,Unknown
ITRC20170504-08,Paint Nite LLC,MA,Business,Yes - Unknown ,Unknown
ITRC20170504-09,Thirty-One Gifts,OH,Business,Yes - Unknown ,Unknown
ITRC20170504-10,Berard & Associates,NY,Business,Yes - Published ,575
ITRC20170504-11,CuttersSports / Nathan Sports,CA,Business,Yes - Published ,2098
ITRC20170504-13,KeraLink International,MD,Business,Yes - Published ,202
ITRC20170504-14,REI Holding Co.,FL,Business,Yes - Published ,638
ITRC20170504-17,Atlantic Coast Mortgage,VA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170504-20,DiCentral Corporation,TX,Business,Yes - Unknown ,Unknown
ITRC20170504-21,Federal Direct Tax Services,IN,Business,Yes - Published ,258
ITRC20170504-22,GKIC,IL,Business,Yes - Unknown ,Unknown
ITRC20170509-06,Horizon Media,NY,Business,Yes - Unknown ,Unknown
ITRC20170509-08,Pratt Industries,GA,Business,Yes - Published ,7569
ITRC20170510-07,Shock Doctor,CA,Business,Yes - Published ,2420
ITRC20170510-09,Capital One,VA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170510-10,GroveInc.,IL,Business,Yes - Published #,1179
ITRC20170510-11,CapTech Ventures,VA,Business,Yes - Published ,785
ITRC20170510-12,Jenner & Block,IL,Business,Yes - Published ,859
ITRC20170510-13,TeletracInc. / Navman Wireless North American Limit,IL,Business,Yes - Published #,465
ITRC20170510-14,Biothera PharmaceuticalsInc.,MN,Business,Yes - Unknown #,Unknown
ITRC20170510-15,MGHInc.,MD,Business,Yes - Unknown #,Unknown
ITRC20170510-16,Peak Alarm Company,UT,Business,Yes - Unknown ,Unknown
ITRC20170510-17,Columbia Association,MD,Business,Yes - Unknown ,Unknown
ITRC20170510-18,Medical DepotInc.,NY,Business,Yes - Published #,1023
ITRC20170510-19,E.T. RockvilleLLC,MD,Business,Yes - Published #,360
ITRC20170510-21,Colony American FinanceLLC,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20170510-22,TransCenInc.,MD,Business,Yes - Unknown #,Unknown
ITRC20170510-23,Calmark Group,IL,Business,Yes - Unknown ,Unknown
ITRC20170510-24,C.A. Short Company,NC,Business,Yes - Unknown ,Unknown
ITRC20170510-25,Intact TechnologyInc.,MD,Business,Yes - Unknown #,Unknown
ITRC20170510-26,B.C. Ziegler and Company,IL,Business,Yes - Published ,145
ITRC20170510-27,National Older Worker Career Center,CO,Business,Yes - Unknown ,Unknown
ITRC20170515-01,Brooks Brothers,NY,Business,Yes - Published ,25733
ITRC20170515-02,D'Angelo & Associates,CA,Business,Yes - Published ,2198
ITRC20170515-05,Bechtel OilGas & Chemicals Construction Services,TX,Business,Yes - Published #,8937
ITRC20170515-06,PolkBeder,OH,Business,Yes - Published ,1230
ITRC20170515-07,Indigo Wild,MO,Business,Yes - Published ,1631
ITRC20170515-08,Office of Robert F. Himmelman,NY,Business,Yes - Unknown ,Unknown
ITRC20170515-09,Walnut Place,TX,Business,Yes - Published ,5000
ITRC20170515-10,Paratransit Services,WA,Business,Yes - Unknown ,Unknown
ITRC20170515-11,University of New Mexico Foundation,NM,Business,Yes - Published ,23000
ITRC20170515-13,Ameriprise Financial ServicesInc. (2/27),MN,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20170516-01,Tatcha.com,CA,Business,Yes - Unknown ,Unknown
ITRC20170517-01,Nicopure LabsLLC,FL,Business,Yes - Unknown #,Unknown
ITRC20170517-02,Equitable Tax Service,CA,Business,Yes - Unknown ,Unknown
ITRC20170517-03,DocuSign,CA,Business,Yes - Unknown ,Unknown
ITRC20170517-05,Massood & Company,NJ,Business,Yes - Published #,2709
ITRC20170517-07,Fidelity National FinancialInc. / Ceridian Corporation,FL,Banking/Credit/Financial,Yes - Published #,236
ITRC20170517-08,Comcast Biz Leads / ITA Group,PA,Business,Yes - Unknown ,Unknown
ITRC20170517-09,Erickson Living / TALX,MD,Business,Yes - Unknown ,Unknown
ITRC20170517-10,Hertzbach & Company,MD,Business,Yes - Published #,1917
ITRC20170517-11,EBARA International Corporation,NV,Business,Yes - Unknown ,Unknown
ITRC20170517-12,SunTrust Bank,GA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170517-13,Ralph A. Strafaci,NJ,Business,Yes - Published ,159
ITRC20170517-14,State Bank of Lincoln,IL,Banking/Credit/Financial,Yes - Published ,5598
ITRC20170517-15,ZelnickMann and Winikur,PA,Business,Yes - Published #,1190
ITRC20170517-16,Jolicoeur & Associates,CA,Business,Yes - Unknown ,Unknown
ITRC20170518-01,Rite Aid Online Store,PA,Business,Yes - Published ,18680
ITRC20170518-02,Edmodo,CA,Business,Yes - Unknown ,Unknown
ITRC20170518-05,DRB SystemsLLC / Multiple Car Washes Nationwide,OH,Business,Yes - Unknown #,Unknown
ITRC20170519-01,HSX.com,CA,Business,Yes - Unknown ,Unknown
ITRC20170519-03,ViacomInc.,NY,Business,Yes - Unknown #,Unknown
ITRC20170519-04,StrohJohnson & Company LLP,OH,Business,Yes - Unknown #,Unknown
ITRC20170519-05,Canal Insurance Company,SC,Business,Yes - Unknown ,Unknown
ITRC20170519-06,Citibank,SD,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20170522-02,Michael T. BlevinsInc.,CA,Business,Yes - Unknown #,Unknown
ITRC20170522-03,AT&T,TX,Business,Yes - Published ,14878
ITRC20170523-02,KURU Fotowear,UT,Business,Yes - Published ,18138
ITRC20170523-04,GoldbergMiller and Rubin,PA,Business,Yes - Published #,5700
ITRC20170523-05,Roundpoint Mortgage Servicing Corporation,NC,Business,Yes - Unknown ,Unknown
ITRC20170523-06,Trinity Private Equity Group,TX,Banking/Credit/Financial,Yes - Published ,138
ITRC20170523-07,Sirius XM,DC,Business,Yes - Unknown ,Unknown
ITRC20170523-08,MBA Consulting Services,VA,Business,Yes - Published ,360
ITRC20170523-09,Stark Investments,WI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170523-10,Telecom Insurance Group,MD,Business,Yes - Unknown ,Unknown
ITRC20170523-11,OneMain Financial Group,MD,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170523-12,Royal Alliance & Associates,NY,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170523-13,Alliance SouthwestLLC / Huntington Apartments,FL,Business,Yes - Unknown #,Unknown
ITRC20170523-14,Crosman Corporation,NY,Business,Yes - Unknown ,Unknown
ITRC20170523-15,Karas & Bradford,MD,Business,Yes - Unknown ,Unknown
ITRC20170524-01,BMO Harris Bank (5/17),IL,Banking/Credit/Financial,Yes - Published ,38391
ITRC20170525-01,Punch Bowl,MI,Business,Yes - Published ,2301
ITRC20170525-02,Allrecipes.com,WA,Business,Yes - Unknown ,Unknown
ITRC20170525-03,Char-BroilLLC,GA,Business,Yes - Published #,17124
ITRC20170525-04,Bank of the West,CA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170525-05,Frontier Airlines,CO,Business,Yes - Published ,3605
ITRC20170526-03,Capital First Trust Company,WI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170526-04,Citizens Financial Group (5/5/2017),RI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170526-05,Ives & SultanLLP,NY,Business,Yes - Published #,2518
ITRC20170526-06,Ricoh USAINC / Equifax,PA,Business,Yes - Published #,114
ITRC20170601-01,Funding Circle USAInc.,CA,Banking/Credit/Financial,Yes - Published #,6000
ITRC20170601-02,Keith M. SouthwoodCPAInc.,CA,Business,Yes - Unknown #,Unknown
ITRC20170601-05,Pinto Mucenski Hooper VanHouse & Co.,NY,Business,Yes - Published ,267
ITRC20170601-06,OneLogin,CA,Business,Yes - Unknown ,Unknown
ITRC20170601-08,Kmart / Sears Holding Company,IL,Business,Yes - Published ,35155
ITRC20170605-01,Signature HardwareInc.,KY,Business,Yes - Published #,5130
ITRC20170605-02,MyFreedomSmokes.com,NC,Business,Yes - Published ,21957
ITRC20170605-03,Angliss & ColohanP.C.,CT,Business,Yes - Published #,479
ITRC20170605-04,Engleberth ConstructionInc.,VT,Business,Yes - Published #,181
ITRC20170605-05,Trojan Battery SalesLLC,FL,Business,Yes - Published #,132
ITRC20170605-07,Crimson Trace Corporation,OR,Business,Yes - Published ,6866
ITRC20170606-04,ClysarLLC,IA,Business,Yes - Unknown #,Unknown
ITRC20170606-05,ITA GroupInc.,IA,Business,Yes - Unknown #,Unknown
ITRC20170606-06,optionsXpressInc byCharles Schwab,IL,Banking/Credit/Financial,Yes - Published #,940
ITRC20170608-01,Townsends,IN,Business,Yes - Unknown ,Unknown
ITRC20170613-01,Tutti Music Player Users / Spectrum Interactive,NY,Business,Yes - Unknown ,Unknown
ITRC20170614-01,Bridge Investment Group,UT,Banking/Credit/Financial,Yes - Published ,1948
ITRC20170615-01,Gracenotea Nielsen Company,CA,Business,Yes - Published #,3000
ITRC20170615-02,CashCrate,ID,Business,Yes - Unknown ,Unknown
ITRC20170615-04,Tennessee Rural Health Improvement Association,TN,Business,Yes - Published ,588
ITRC20170616-01,Sadd Velazquez Higashi Shamaa (SVHS),CA,Business,Yes - Published ,4625
ITRC20170616-02,Southern Tide,SC,Business,Yes - Published ,4315
ITRC20170616-03,Jewelry.com / Richline GroupInc.,FL,Business,Yes - Published #,7000
ITRC20170616-04,Onia LLC / AcadaceLLC,NY,Business,Yes - Unknown #,Unknown
ITRC20170616-05,Forum for Youth Investment,DC,Business,Yes - Published ,643
ITRC20170616-07,Leavitt Group,UT,Business,Yes - Unknown ,Unknown
ITRC20170616-08,Union Bank & Trust (UBT),NE,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170616-09,Scatco Abstracts & Title Insurance / Three Rivers Title,AR,Business,Yes - Published ,200
ITRC20170616-10,O'Brien Riley & RyanP.C.,MA,Business,Yes - Published #,181
ITRC20170616-11,Pioneer Valley Books,MA,Business,Yes - Published ,929
ITRC20170616-12,Provident Credit Union,CA,Banking/Credit/Financial,Yes - Published ,192
ITRC20170619-01,Bed Bath & Beyond,NJ,Business,Yes - Unknown ,Unknown
ITRC20170619-02,Buckle Inc.,NE,Business,Yes - Published ,1993
ITRC20170619-03,Deep Root Analytics / Republican National Committee,VA,Business,Yes - Unknown ,Unknown
ITRC20170620-02,Yeo & Yeo CPAs & Business Consultants,MI,Business,Yes - Published ,3491
ITRC20170623-01,Home Point Financial Corporation,CA,Banking/Credit/Financial,Yes - Published ,32642
ITRC20170623-02,Caliber Home LoansInc.,TX,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20170623-10,Parkhurst Dining,PA,Business,Yes - Published ,572
ITRC20170623-11,Santander Bank (5/22),MA,Banking/Credit/Financial,Yes - Published ,434
ITRC20170623-12,David Turrentine & AssociatesInc.,IL,Business,Yes - Published #,1948
ITRC20170627-01,GOLFTEC,CO,Business,Yes - Unknown ,Unknown
ITRC20170629-01,8tracks Radio,CA,Business,Yes - Unknown ,Unknown
ITRC20170629-02,Paul StuartInc.,NY,Business,Yes - Published #,6477
ITRC20170630-02,County Commissioners Association of Pennsylvania /,PA,Business,Yes - Published ,1800
ITRC20170630-03,U.S. Cellular,IL,Business,Yes - Published ,1852
ITRC20170630-04,State Farm Mutual Automobile Insurance Companyits,IL,Business,Yes - Unknown #,Unknown
ITRC20170630-05,Michael A. AdamsCPA,CA,Business,Yes - Unknown #,Unknown
ITRC20170630-06,Xtant Medical,MT,Business,Yes - Unknown ,Unknown
ITRC20170630-07,Condie Stoker & Associates,ID,Business,Yes - Unknown ,Unknown
ITRC20170630-09,Burdette Smith & Bish,VA,Business,Yes - Published ,1285
ITRC20170630-10,First National Bank of Pennsylvania (5/26),PA,Banking/Credit/Financial,Yes - Published ,6718
ITRC20170630-11,KarpAckermanSkabowski & HoganCPAs,NY,Business,Yes - Published #,256
ITRC20170630-12,Leader Bank,MA,Banking/Credit/Financial,Yes - Published ,362
ITRC20170630-13,RJDLLC dba Guardian TechnologiesLLC,OH,Business,Yes - Unknown #,Unknown
ITRC20170706-01,White Blossom Care Center,CA,Business,Yes - Published ,800
ITRC20170706-02,Meepos & Co.,CA,Business,Yes - Published ,1910
ITRC20170707-01,B&B Theaters,MO,Business,Yes - Published ,1133
ITRC20170707-05,Enterprise Services LLC (#2),CO,Business,Yes - Published ,822
ITRC20170707-06,Enterprise Services LLC #1,IN,Business,Yes - Published ,56075
ITRC20170707-09,Adams IndustriesInc.,NE,Business,Yes - Published #,647
ITRC20170707-12,World Wrestling EntertainmentInc. (WWE),CT,Business,Yes - Unknown #,Unknown
ITRC20170710-01,Avanti Markets,WA,Business,Yes - Published ,1600000
ITRC20170710-02,California Association of Realtors / Real Estate Busine,CA,Business,Yes - Published ,1000
ITRC20170711-03,Movement MortgageLLC,SC,Banking/Credit/Financial,Yes - Published #,9591
ITRC20170713-01,YMCA San Diego,CA,Business,Yes - Unknown ,Unknown
ITRC20170713-04,Pacific Science Center,WA,Business,Yes - Unknown ,Unknown
ITRC20170713-05,Golf & Ski WarehouseInc.,NH,Business,Yes - Unknown #,Unknown
ITRC20170713-08,Spark Pay Online Store - multiple businesses,VA,Business,Yes - Unknown ,Unknown
ITRC20170713-10,Betty Lou'sInc.,OR,Business,Yes - Published #,453
ITRC20170713-12,Verizon,NJ,Business,Yes - Unknown ,Unknown
ITRC20170714-02,Harvest Bible Chapel dba Walk in the Word Ministries,IL,Business,Yes - Published ,13961
ITRC20170718-01,Apartment Management ConsultantsLLC,UT,Business,Yes - Published #,2400
ITRC20170718-13,Nathan Sports,CA,Business,Yes - Published ,330
ITRC20170718-14,Open Text Corporation,US,Business,Yes - Published ,300
ITRC20170718-15,QBE North America,WI,Business,Yes - Published ,132
ITRC20170719-01,Dow Jones & Company,NY,Banking/Credit/Financial,Yes - Published ,2200000
ITRC20170724-04,Wells Fargo,CA,Banking/Credit/Financial,Yes - Published ,50000
ITRC20170724-05,Bedrock Manufacturing CompanyLLC,TX,Business,Yes - Published #,965
ITRC20170724-06,Chizner & Company LLC,NY,Business,Yes - Published ,1443
ITRC20170724-07,Keller Williams RealtyInc.,TX,Business,Yes - Published #,398142
ITRC20170724-08,Whitinger & Company LLC,IN,Business,Yes - Unknown ,Unknown
ITRC20170724-09,SportsMemorabilia.com.,FL,Business,Yes - Unknown ,Unknown
ITRC20170725-01,de Arrigoitia & Co.,FL,Business,Yes - Published #,1139
ITRC20170725-02,Atlantis Paradise Island Resort / Island Hotel Company,FL,Business,Yes - Unknown ,Unknown
ITRC20170727-01,Galt House / Al . Schneider Company,KY,Business,Yes - Published ,1411
ITRC20170728-04,Hathaway-Sycamores Child and Family Services,CA,Business,Yes - Unknown ,Unknown
ITRC20170728-05,Neiman Marcus Mobile App,TX,Business,Yes - Unknown ,Unknown
ITRC20170728-06,Virgin America Systems,CA,Business,Yes - Published ,3230
ITRC20170728-07,Hilderbrand & Clark,CA,Business,Yes - Published ,2230
ITRC20170728-08,Hamilton Zanze Real Estate Investments,CA,Business,Yes - Published ,1140
ITRC20170731-01,Steel TechnologyLLC dba Hydro Flask,OR,Business,Yes - Published #,336
ITRC20170802-02,Cole Sport,UT,Business,Yes - Unknown ,Unknown
ITRC20170802-03,Kevin J Palmer,CA,Business,Yes - Published ,1438
ITRC20170802-05,Capital One 360,MN,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170808-04,Metropolitan Life Insurance Co.,NY,Business,Yes - Published ,4220
ITRC20170808-05,State Industrial Products / Neutron Industries,AZ,Business,Yes - Unknown ,Unknown
ITRC20170808-06,BST & Co. CPAsLLP / CCH,NY,Business,Yes - Unknown #,Unknown
ITRC20170808-07,Citizens Financial Group (8/2/17),RI,Banking/Credit/Financial,Yes - Published ,313
ITRC20170808-08,Citizens Financial Group (6/6/2017),RI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170808-09,Citizens Financial Group (6/7/2017),RI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170808-10,Citizens Financial Group (7/3/17),RI,Banking/Credit/Financial,Yes - Published ,4837
ITRC20170808-11,Citizens Financial Group (7/6),RI,Banking/Credit/Financial,Yes - Published ,152
ITRC20170808-12,Directron,TX,Business,Yes - Published ,657
ITRC20170808-13,Starwood Property Trust / Starwood Mortgage Capital,CT,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170809-01,GlaxoSmithKline LLC,PA,Business,Yes - Published ,4000
ITRC20170809-03,HD Vest Investment Services,TX,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170815-04,WNET,NY,Business,Yes - Unknown ,Unknown
ITRC20170815-05,Marine Corps Association and Foundation,VA,Business,Yes - Unknown ,Unknown
ITRC20170815-06,Wooster-Ashland Regional Council of Governments,OH,Business,Yes - Unknown ,Unknown
ITRC20170815-07,Shoe Station,AL,Business,Yes - Unknown ,Unknown
ITRC20170815-09,Visiting Nurse Association of New Jersey,NJ,Business,Yes - Unknown ,Unknown
ITRC20170815-11,Bishop Company,MA,Business,Yes - Unknown ,Unknown
ITRC20170815-12,Delek US Holdings,TN,Business,Yes - Published ,27123
ITRC20170815-13,Ingis & Company,NJ,Business,Yes - Published ,647
ITRC20170815-14,Intrepid Aviation ManagementLLC,CT,Business,Yes - Unknown #,Unknown
ITRC20170815-15,Frasca InternationalInc.,IL,Business,Yes - Unknown #,Unknown
ITRC20170815-16,Harry WinstonInc.,NY,Business,Yes - Published #,430
ITRC20170815-17,Krell & Associates,NY,Business,Yes - Unknown ,Unknown
ITRC20170822-01,Native Shoes,US,Business,Yes - Unknown ,Unknown
ITRC20170822-02,DutchLLC / Joie.com /,CA,Business,Yes - Published #,11578
ITRC20170822-03,Golden 1 Credit Union,CA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170822-06,American Broadband,NE,Business,Yes - Unknown ,Unknown
ITRC20170822-07,TRUEbenefits LLC,WA,Business,Yes - Published ,17309
ITRC20170822-09,Juliska,CT,Business,Yes - Published ,4949
ITRC20170822-11,Election Systems & Software,IL,Business,Yes - Published ,1800000
ITRC20170822-17,KBE Building Corporation,CT,Business,Yes - Unknown ,Unknown
ITRC20170822-18,New Hampshire Retirement System,NH,Business,Yes - Unknown ,Unknown
ITRC20170822-19,Saddle Ridge PartnersLLC dba Wizard Labs,FL,Business,Yes - Unknown #,Unknown
ITRC20170822-20,Standex International Corporation,NH,Business,Yes - Unknown ,Unknown
ITRC20170830-01,CoreLogic Credco,CA,Business,Yes - Published ,2189
ITRC20170830-02,Massachusetts Mutual Life Insurance Company,MA,Business,Yes - Unknown ,Unknown
ITRC20170830-03,Franklin R. NotoCPA,CA,Business,Yes - Unknown #,Unknown
ITRC20170830-04,Zymo Research Corporation,CA,Business,Yes - Unknown ,Unknown
ITRC20170830-05,Zazzle Inc.,CA,Business,Yes - Unknown ,Unknown
ITRC20170830-18,Crescent Mortgage Company,GA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170830-19,RutherfordMacDonald & OlsonP.C.,MT,Business,Yes - Unknown #,Unknown
ITRC20170830-20,Evers Robinson,AZ,Business,Yes - Unknown ,Unknown
ITRC20170830-21,Piersol ConstructionInc.,WA,Business,Yes - Unknown #,Unknown
ITRC20170905-01,TigerSwan / TalentPen,NC,Business,Yes - Published ,9400
ITRC20170905-07,Spectrum / Time Warner Cable / BroadSoft,NC,Business,Yes - Unknown ,Unknown
ITRC20170905-10,Major League Lacrosse,MA,Business,Yes - Published ,2570
ITRC20170905-12,American Friends Service Committee,PA,Business,Yes - Unknown ,Unknown
ITRC20170905-13,Mark F. AndrewsCPALLC,MA,Business,Yes - Unknown #,Unknown
ITRC20170905-14,CBS ConsolidatedInc. dba Cornerstone Business & M,NE,Business,Yes - Published #,21856
ITRC20170905-15,Citizens financial Group (8/29),RI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170905-16,GT Distibutors,TX,Business,Yes - Published ,1287
ITRC20170905-17,LPL Financial (6/17),CA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170905-18,Mr. Cooper (7/5/2017),TX,Banking/Credit/Financial,Yes - Published ,8118
ITRC20170905-19,Bright Wood Corporation,OR,Business,Yes - Unknown ,Unknown
ITRC20170907-01,Equifax,GA,Business,Yes - Published ,145500000
ITRC20170911-07,Timberland Bank,WA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170912-01,ABBInc.,NC,Business,Yes - Published #,28012
ITRC20170912-02,Akira / shopakira.com,IL,Business,Yes - Published ,22513
ITRC20170912-03,WRJ HoldingsLLC dba Classic Firearms,NC,Business,Yes - Unknown #,Unknown
ITRC20170912-04,KroeschellInc.,IL,Business,Yes - Published #,1543
ITRC20170912-05,Infinite Computer SolutionsInc.,MD,Business,Yes - Published #,650
ITRC20170912-06,New York Life Insurance Company,NY,Business,Yes - Published ,243
ITRC20170912-07,reThink GroupInc.,GA,Business,Yes - Unknown #,Unknown
ITRC20170912-08,SRI International,CA,Business,Yes - Unknown ,Unknown
ITRC20170912-09,Velcro USA Inc. / ADP,NH,Business,Yes - Unknown ,Unknown
ITRC20170912-13,Clark Rasmussen TaylorCPAs,UT,Business,Yes - Published #,1361
ITRC20170912-14,Cooper's Hawk Winery & Restaurants,IL,Business,Yes - Unknown ,Unknown
ITRC20170912-15,Santander Bank (3/8),MA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170912-16,Santander Bank (3/24),MA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170912-17,Nationwide,OH,Business,Yes - Unknown ,Unknown
ITRC20170912-18,Adveq Management USInc.,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20170912-19,C. Jerry Ploss & Co.,NY,Business,Yes - Published ,334
ITRC20170921-05,Barer Law Offices,MT,Business,Yes - Unknown ,Unknown
ITRC20170921-07,Cohn Handler Sturm,CA,Business,Yes - Published ,2192
ITRC20170921-10,ICC IndustriesInc.,NY,Business,Yes - Published #,4997
ITRC20170921-11,Grainger,CA,Business,Yes - Published ,1594
ITRC20170921-13,E & J Gallo Winery,CA,Business,Yes - Published ,7730
ITRC20170921-14,Signator InvestorsInc.,NH,Business,Yes - Unknown #,Unknown
ITRC20170921-15,Frontier Cooperative,IA,Business,Yes - Unknown ,Unknown
ITRC20170921-16,Jacuzzi,CA,Business,Yes - Unknown ,Unknown
ITRC20170921-17,reThink GroupInc.,NY,Business,Yes - Unknown #,Unknown
ITRC20170921-18,Fiduciary ManagementInc.,WI,Banking/Credit/Financial,Yes - Published #,3287
ITRC20171002-01,Servis OneInc. dba BSI Financial Services,TX,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20171003-01,Online Traffic School,CA,Business,Yes - Unknown ,Unknown
ITRC20171003-02,International Council of Shopping Centers,NY,Business,Yes - Unknown ,Unknown
ITRC20171003-15,Hyatt Centric The Loop Chicago / Integrated Clark Mon,IL,Business,Yes - Published ,24599
ITRC20171003-17,Gratan Resort & Casino,CA,Business,Yes - Unknown ,Unknown
ITRC20171003-18,Whole Foods,TX,Business,Yes - Unknown ,Unknown
ITRC20171003-19,Sonic Drive-In,OK,Business,Yes - Published ,5000000
ITRC20171003-20,Deloitte,NY,Business,Yes - Unknown ,Unknown
ITRC20171003-21,Iowa Lottery,IA,Business,Yes - Published ,3000
ITRC20171003-23,Aero-Tech Light Bulb Co.,IL,Business,Yes - Published ,802
ITRC20171003-24,NCI GroupInc.,TX,Business,Yes - Unknown #,Unknown
ITRC20171003-25,CliftonLarsonAllen LLP,MN,Business,Yes - Published ,1239
ITRC20171003-26,Richard E. MunozCPA,CA,Business,Yes - Unknown #,Unknown
ITRC20171003-28,Whatcom Land Title Company,WA,Banking/Credit/Financial,Yes - Published ,433
ITRC20171003-29,National Football League,NY,Business,Yes - Published ,1133
ITRC20171003-31,San Ysidro School District,CA,Education,Yes - Unknown #,Unknown
ITRC20171003-33,Drexel University,PA,Education,Yes - Published #,299
ITRC20171010-01,Provo Craft & NoveltyInc. dba Cricut,UT,Business,Yes - Unknown #,Unknown
ITRC20171010-02,Catholic United Financial,MN,Banking/Credit/Financial,Yes - Published ,127310
ITRC20171010-03,Tommie Copper,NY,Business,Yes - Unknown ,Unknown
ITRC20171010-04,SyncHR - multiple,CO,Business,Yes - Unknown ,Unknown
ITRC20171010-05,Cabrillo Community College,CA,Education,Yes - Published #,12273
ITRC20171010-06,FlexShopperLLC,NC,Business,Yes - Published #,170474
ITRC20171010-07,Northwestern Mutual Life Insurance Company,WI,Business,Yes - Unknown ,Unknown
ITRC20171010-08,626498 Alberta Ltd. / Best Western Plus,AZ,Business,Yes - Published ,262
ITRC20171010-09,Cheddar's Scratch Kitchen,TX,Business,Yes - Unknown ,Unknown
ITRC20171010-10,Briggs & Stratton,WI,Business,Yes - Published ,33000
ITRC20171010-11,Brown/Armstrong,OR,Business,Yes - Published #,1003
ITRC20171010-12,Kenco Group,TN,Business,Yes - Unknown ,Unknown
ITRC20171010-13,AM2 / Approve.Me,UT,Business,Yes - Published ,13088
ITRC20171010-14,Rudy Cecchi & Associates / Valmark Financial Group,FL,Business,Yes - Unknown ,Unknown
ITRC20171010-15,Citizens Financial GroupInc. (10/4),RI,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20171010-16,Denver Art Museum,CO,Business,Yes - Published ,821
ITRC20171010-17,Gentle Giant StudiosInc. dba Gentle GiantLtd.,CA,Business,Yes - Unknown #,Unknown
ITRC20171010-18,Lendio,UT,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20171010-20,T-Mobile (INCD2017-08-3628325),WA,Business,Yes - Unknown ,Unknown
ITRC20171011-01,SVR Tracking,CA,Business,Yes - Unknown ,Unknown
ITRC20171011-02,TargetSmart / Equals3,AK,Business,Yes - Unknown ,Unknown
ITRC20171016-02,John Hancock Life Insurance Company,MA,Business,Yes - Published ,1715
ITRC20171018-04,Pizza Hut,TX,Business,Yes - Published ,60000
ITRC20171018-05,Transamerica / Transamerica Life Insurance Co. / Tran,IA,Business,Yes - Unknown ,Unknown
ITRC20171018-08,Droege Computing Services / StampAuctionNetwork,NC,Business,Yes - Unknown ,Unknown
ITRC20171018-11,We Heart It,CA,Business,Yes - Unknown ,Unknown
ITRC20171018-12,Lake Champlain Chocolates,VT,Business,Yes - Unknown ,Unknown
ITRC20171018-13,Aptos (August 2017) - Multiple entities,GA,Business,Yes - Unknown ,Unknown
ITRC20171018-14,Aegis Living,WA,Business,Yes - Unknown ,Unknown
ITRC20171018-15,Nussbaum Yates Berg Klein & Wolpow,NY,Business,Yes - Published ,80000
ITRC20171018-16,Citizens Financial Group (10/4),RI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20171023-02,Phillips & Temro Industries,MN,Business,Yes - Unknown ,Unknown
ITRC20171023-03,Universal Nutrition,NJ,Business,Yes - Unknown ,Unknown
ITRC20171024-01,coincafe,NY,Business,Yes - Published ,1069
ITRC20171024-02,College of the Holy Cross,MA,Education,Yes - Unknown #,Unknown
ITRC20171024-03,McNair & CompanyInc.,VA,Business,Yes - Unknown #,Unknown
ITRC20171024-04,Neue Galerie,NY,Business,Yes - Unknown ,Unknown
ITRC20171025-01,Tarte Cosmetics,NY,Business,Yes - Unknown ,Unknown
ITRC20171025-07,Lighthouse Management ServicesLLC dba Home Pro,NY,Business,Yes - Unknown #,Unknown
