ID,organization,state,industry,exposure,records
ITRC20141216-02,Union First Market Bank,VA,Banking/Credit/Financial,Yes - Published #,3000
ITRC20141110-02,Palm Springs Federal Credit Union,CA,Banking/Credit/Financial,Yes - Published #,1600
ITRC20141103-06,Capital One,VA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20141028-04,Fidelity National Financial,GA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20141021-02,Advantage Funding Company,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20141014-09,Multiple Financial Services Financial Firms,US,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140909-05,LPL Financial LLC,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140908-03,JP Morgan Corporate Challenge,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140902-04,JPMorgan Chase - Debit Cards,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140828-01,JPMorgan Chase,NY,Banking/Credit/Financial,Yes - Published #,1000000
ITRC20140826-01,Ascensus (Hanmi Bank Profit Sharing & 401(k) Saving,PA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140820-06,USAA,TX,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140819-05,Sun Trust Bank,GA,Banking/Credit/Financial,Yes - Published #,225
ITRC20140805-11,Oppenheimer Funds,CO,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140805-06,Mount Olympus Mortgage Company,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140804-01,Northern Trust,IL,Banking/Credit/Financial,Yes - Published #,10172
ITRC20140718-03,Bank of the West,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140715-01,TotalBank,GA,Banking/Credit/Financial,Yes - Published #,72500
ITRC20140702-02,Stanford Federal Credit Union,CA,Banking/Credit/Financial,Yes - Published #,18000
ITRC20140616-01,Fidelity National Financial,GA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140609-03,Bluegrass Community Federal Credit Union,KY,Banking/Credit/Financial,Yes - Unknown #,Unknown
