ID,organization,state,industry,exposure,records
ITRC20151229-03,Quincy Credit Union,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151216-01,Toyota Motor Credit Corporation,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151215-02,"Sorrento Pacific Financial, LLC",CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151209-02,"Citizens Financial Group, Inc.",RI,Banking/Credit/Financial,Yes - Published #,498
ITRC20151209-01,"Ameriprise Financial, Inc.",MN,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151201-12,TD Bank,NJ,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151201-06,Spring Mountain Capital / KPMG,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151130-06,Principal Financial Group,IA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151124-15,LPL Financial / Independent Financial Partners,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151124-10,Fidelity Investments,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151118-13,Columbia Threadneedle Investments,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151020-08,Santander Bank #5,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151015-01,Mainstreet Federal Credit Union,KS,Banking/Credit/Financial,Yes - Published #,300
ITRC20151013-06,E*Trade,NY,Banking/Credit/Financial,Yes - Published #,31000
ITRC20151009-01,Dow Jones & Co.,NY,Banking/Credit/Financial,Yes - Published #,3500
ITRC20151005-02,Schwab Retirement Plan Services,CA,Banking/Credit/Financial,Yes - Published #,9400
ITRC20151002-06,Scottrade,IL,Banking/Credit/Financial,Yes - Published #,812
ITRC20151002-02,Scottrade,IL,Banking/Credit/Financial,Yes - Published #,4600000
ITRC20150922-08,TD Bank,NJ,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150908-01,Hawaii First Federal Credit Union,HI,Banking/Credit/Financial,Yes - Published #,5965
ITRC20150901-11,Santander Bank #4,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150901-10,Santander Bank #3,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150901-09,Santander Bank #2,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150901-07,BNY Mellon,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150818-24,LPL Financial,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150818-05,Nationstar Mortgage,TX,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150804-14,Woodbury Financial Services,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150728-04,Scient Federal Credit Union,CT,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150728-02,HSBC Mortgage Service Center,VA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150727-01,Golden 1 Credit Union,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150721-06,Citizens Bank,RI,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150629-01,Bank of Manhattan - Mortgage Lending,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150623-15,M&T Bank,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150623-13,Citibank,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150623-12,M&T Bank,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150623-10,Regions Bank,AL,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150623-07,First Command Financial Services,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150623-04,John Hancock Life Insurance Company / Signator Inve,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150623-03,"Gallagher Pool Wealth Management, LLC",OH,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150616-09,Santander Bank #1,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150605-07,"Mid-America Apartment Communities, Inc. (MAA)",TN,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150603-03,Virginia Credit Union,VA,Banking/Credit/Financial,Yes - Published #,2000
ITRC20150526-03,Federal Reserve Bank of St. Louis,AL,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150519-11,Fort Campbell Federal Credit Union,TN,Banking/Credit/Financial,Yes - Published #,1307
ITRC20150504-05,Columbian Financial Group / Columbian Mutual Life In,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150428-03,BB&T Mortgage Servicing,NC,Banking/Credit/Financial,Yes - Published #,2846
ITRC20150428-02,Equity Trust Company,OH,Banking/Credit/Financial,Yes - Published #,3636
ITRC20150413-09,HSBC Finance Corporation,NY,Banking/Credit/Financial,Yes - Published #,3192
ITRC20150408-04,"Retail Capital, LLC",MI,Banking/Credit/Financial,Yes - Published #,741
ITRC20150408-03,Momentive Performance Materials Savings Plan (Fideli,OH,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150330-19,TD Bank,NJ,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150330-17,"OnDeck Capital, Inc.",NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150330-16,Nationstar Mortgage / Corelogic Solutions Express,TX,Banking/Credit/Financial,Yes - Published #,34
ITRC20150330-12,Columbia Management,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150330-11,Citizens Financial Group,RI,Banking/Credit/Financial,Yes - Published #,1813
ITRC20150320-03,Capital One,VA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150311-02,"TD Bank, N.A.",NJ,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150303-08,Piedmont Advantage Credit Union,NC,Banking/Credit/Financial,Yes - Published #,46000
ITRC20150303-05,Pioneer Bank,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150217-11,"Ameriprise Financial Services, Inc.",MN,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150213-05,Visteon Corporation / Fidelity Investments,MI,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150213-03,"Citibank, N.A.",NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150213-02,"Citibank, N.A.",NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150123-10,"Citibank, N.A.",NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150123-07,Fairway Independent Mortgage Corporation,WI,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150123-01,M&T Bank,NY,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150122-23,Pulte Mortgage LLC,CO,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20150122-14,Nationstar Mortgage,TX,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20151229-07,SAS Safety Corporation,CA,Business,Yes - Unknown #,Unknown
ITRC20151228-05,Voter Registration Database,US,Business,Yes - Unknown #,Unknown
ITRC20151228-03,Hyatt Hotels,IL,Business,Yes - Unknown #,Unknown
ITRC20151228-02,"Acclaim Technical Services, Inc.",CA,Business,Yes - Unknown #,Unknown
ITRC20151228-01,Matson Navigation Company / Horizon Lines,CA,Business,Yes - Unknown #,Unknown
ITRC20151222-07,Uncle Maddio's Pizza Joint,GA,Business,Yes - Published #,972
ITRC20151222-04,Hello Kitty,CA,Business,Yes - Unknown #,Unknown
ITRC20151222-02,Dungarees,MO,Business,Yes - Unknown #,Unknown
ITRC20151221-04,Landry's Inc.,TX,Business,Yes - Unknown #,Unknown
ITRC20151218-02,Corner Bakery,TX,Business,Yes - Unknown #,Unknown
ITRC20151217-01,Safeway,CA,Business,Yes - Unknown #,Unknown
ITRC20151215-09,"Brenner McDonagh & Tortolani, Inc.",NY,Business,Yes - Unknown #,Unknown
ITRC20151215-07,First Transit,OH,Business,Yes - Unknown #,Unknown
ITRC20151215-03,TuneCore,NY,Business,Yes - Unknown #,Unknown
ITRC20151215-01,MacKeeper,CA,Business,Yes - Unknown #,Unknown
ITRC20151214-01,New England Calendar and Novelty Company,NY,Business,Yes - Unknown #,Unknown
ITRC20151210-01,Elephant Bar / CM Bar,TX,Business,Yes - Unknown #,Unknown
ITRC20151207-05,Kalahari Resorts,WI,Business,Yes - Unknown #,Unknown
ITRC20151207-04,"MUJI USA, LIMITED",NJ,Business,Yes - Unknown #,Unknown
ITRC20151204-04,"Knit-Rite, Inc.",KS,Business,Yes - Unknown #,Unknown
ITRC20151204-02,Keenan & Associates,CA,Business,Yes - Published #,35000
ITRC20151204-01,"Office of Holly A. Nordhues, CPA",CA,Business,Yes - Unknown #,Unknown
ITRC20151201-18,"Honey Baked Ham Company, LLC / Stoner Bunting Ad",PA,Business,Yes - Unknown #,Unknown
ITRC20151201-17,Stonebridge Life,TX,Business,Yes - Unknown #,Unknown
ITRC20151201-16,Office of Peggy Olson,ND,Business,Yes - Unknown #,Unknown
ITRC20151201-15,Integrated Listening Systems,CO,Business,Yes - Unknown #,Unknown
ITRC20151201-14,Teach for America,NY,Business,Yes - Unknown #,Unknown
ITRC20151201-13,Lando Law Firm,SC,Business,Yes - Unknown #,Unknown
ITRC20151201-10,Mountain Travel Sobek,CA,Business,Yes - Unknown #,Unknown
ITRC20151201-09,Red Dress Boutique,GA,Business,Yes - Published #,295
ITRC20151201-04,Quad/Graphics,WI,Business,Yes - Published #,693
ITRC20151201-03,Northwest Georgia Housing Authority,GA,Business,Yes - Unknown #,Unknown
ITRC20151201-02,Smartlabtoys.com,WA,Business,Yes - Unknown #,Unknown
ITRC20151201-01,"Vmware, Inc.",CA,Business,Yes - Unknown #,Unknown
ITRC20151130-09,Gallagher Bassett Services,IL,Business,Yes - Unknown #,Unknown
ITRC20151130-08,Nationwide,OH,Business,Yes - Unknown #,Unknown
ITRC20151130-07,SMS Hospitality,MD,Business,Yes - Unknown #,Unknown
ITRC20151130-05,Oiselle.com,OR,Business,Yes - Unknown #,Unknown
ITRC20151130-03,Amazon Password Breach,WA,Business,Yes - Unknown #,Unknown
ITRC20151130-01,Vtech,OR,Business,Yes - Unknown #,Unknown
ITRC20151125-01,LANDESK,UT,Business,Yes - Unknown #,Unknown
ITRC20151124-21,Wilderness Resort,WI,Business,Yes - Unknown #,Unknown
ITRC20151124-17,Kohl's,WI,Business,Yes - Unknown #,Unknown
ITRC20151124-14,Intuit's TurboTax Business,CA,Business,Yes - Unknown #,Unknown
ITRC20151124-13,Summit Chemical Profit Sharing & 401(K) Plan / Ascen,PA,Business,Yes - Unknown #,Unknown
ITRC20151124-12,Interline Brands,FL,Business,Yes - Unknown #,Unknown
ITRC20151124-11,Wm. T. Burnett & Co./STX,MD,Business,Yes - Unknown #,Unknown
ITRC20151124-09,Aon Hewitt,IL,Business,Yes - Unknown #,Unknown
ITRC20151124-08,Follett Corporation,IL,Business,Yes - Unknown #,Unknown
ITRC20151124-07,Newton Running,CO,Business,Yes - Unknown #,Unknown
ITRC20151124-05,New Enterprise Associates / Collected Intelligence LL,MD,Business,Yes - Unknown #,Unknown
ITRC20151124-04,YMCA of Greater Pittsburgh,PA,Business,Yes - Unknown #,Unknown
ITRC20151124-01,"W.W. Grainger, Inc.",IL,Business,Yes - Unknown #,Unknown
ITRC20151123-01,Starwood Hotels & Resorts Worldwide,CT,Business,Yes - Unknown #,Unknown
ITRC20151118-12,Philadelphia Gas Works,PA,Business,Yes - Unknown #,Unknown
ITRC20151118-09,Common Market,ME,Business,Yes - Unknown #,Unknown
ITRC20151118-06,Swiss Cleaners,CT,Business,Yes - Unknown #,Unknown
ITRC20151118-02,Securus Technologies,TX,Business,Yes - Published #,63000
ITRC20151113-01,Fashion to Figure,DE,Business,Yes - Unknown #,Unknown
ITRC20151112-01,Comcast,AL,Business,Yes - Unknown #,Unknown
ITRC20151109-03,Four Winds Casino Resort,MI,Business,Yes - Unknown #,Unknown
ITRC20151105-02,Interstitial Cystitis Network (ICN Mail Order Center),CA,Business,Yes - Unknown #,Unknown
ITRC20151105-01,Avis Budget Group,NJ,Business,Yes - Unknown #,Unknown
ITRC20151103-03,Dow Corning Corporation,MI,Business,Yes - Published #,4000
ITRC20151103-01,Accuform Signs,FL,Business,Yes - Unknown #,Unknown
ITRC20151030-01,Yellowfront Grocery,ME,Business,Yes - Unknown #,Unknown
ITRC20151029-04,"ShowTix4U / Digital Theatre, LLC",NV,Business,Yes - Unknown #,Unknown
ITRC20151029-03,STILETTO Solutions,CA,Business,Yes - Unknown #,Unknown
ITRC20151029-01,Casey's General Stores,IA,Business,Yes - Unknown #,Unknown
ITRC20151026-01,Noble House Hotel and Resorts - The Commons,WA,Business,Yes - Published #,19472
ITRC20151020-06,"EyeByeDirect, Inc.",TX,Business,Yes - Unknown #,Unknown
ITRC20151020-04,Millers Mutual Group,PA,Business,Yes - Unknown #,Unknown
ITRC20151019-02,Food.com / Scripps Network,TN,Business,Yes - Unknown #,Unknown
ITRC20151019-01,Community Catalysts of California,CA,Business,Yes - Published #,1182
ITRC20151015-02,Uber,CA,Business,Yes - Published #,1182
ITRC20151013-07,America's Thrift Stores,AL,Business,Yes - Unknown #,Unknown
ITRC20151013-05,"Office of Peggy E. Olson, CPA",MT,Business,Yes - Published #,Unknown
ITRC20151013-04,"Peppermill Casinos, Inc.",NV,Business,Yes - Unknown #,Unknown
ITRC20151009-06,MARTA,GA,Business,Yes - Published #,785
ITRC20151009-05,Schlage Lock Company,IL,Business,Yes - Unknown #,Unknown
ITRC20151009-04,NorthShore Supply (Samela),IL,Business,Yes - Unknown #,Unknown
ITRC20151009-03,glamglowmud.com (GlamGlow),CA,Business,Yes - Unknown #,Unknown
ITRC20151006-01,Streets of New York,AZ,Business,Yes - Published #,250
ITRC20151002-05,"M&R Strategic Services, Inc.",DC,Business,Yes - Unknown #,Unknown
ITRC20151002-04,American Bankers Association,DC,Business,Yes - Unknown #,Unknown
ITRC20151001-01,T-Mobile / Experian,WA,Business,Yes - Published #,15000000
ITRC20150929-10,Big Blue Bus,CA,Business,Yes - Unknown #,Unknown
ITRC20150929-08,Hilton Worldwide,VA,Business,Yes - Unknown #,Unknown
ITRC20150929-05,Bed Bath & Beyond,NJ,Business,Yes - Unknown #,Unknown
ITRC20150929-04,padlocks4less.com / Frank J. Martin Company,WA,Business,Yes - Unknown #,Unknown
ITRC20150929-03,Trump Hotel Collection,NV,Business,Yes - Unknown #,Unknown
ITRC20150922-11,ACE Surgical Supply Co.,MA,Business,Yes - Published #,4300
ITRC20150922-10,Costco Photo Center / PNI Digital Media,WA,Business,Yes - Unknown #,Unknown
ITRC20150922-09,YapStone (VacationRentPayment),CA,Business,Yes - Unknown #,Unknown
ITRC20150922-02,Outback / T-Bird Restaurant Group,FL,Business,Yes - Unknown #,Unknown
ITRC20150915-03,"Glidewell Laboratories / Dental Ceramics, Inc. / James",OH,Business,Yes - Unknown #,Unknown
ITRC20150908-05,Heritage Foundation,DC,Business,Yes - Unknown #,Unknown
ITRC20150908-04,Viewpoint Construction Software,OR,Business,Yes - Published #,115
ITRC20150908-03,We End Violence / California State Universitites,CA,Business,Yes - Published #,79000
ITRC20150908-02,ReverbNation,NC,Business,Yes - Unknown #,Unknown
ITRC20150901-08,Michigan Catholic Conference,MI,Business,Yes - Unknown #,Unknown
ITRC20150901-05,Village Pizza & Pub,IL,Business,Yes - Unknown #,Unknown
ITRC20150901-04,Utah Food Bank,UT,Business,Yes - Published #,10385
ITRC20150901-03,Olympia Hotel Management / Brunswick Hotel & Taver,ME,Business,Yes - Published #,2600
ITRC20150901-02,Milk Nursingwear,FL,Business,Yes - Unknown #,Unknown
ITRC20150901-01,Genworth,VA,Business,Yes - Published #,2500
ITRC20150825-08,Holiday Inn Harrisburg/Hershey - Milestone Hospitality,MD,Business,Yes - Unknown #,Unknown
ITRC20150825-07,Rogers Electric,GA,Business,Yes - Unknown #,Unknown
ITRC20150825-03,Totally Promotional,OH,Business,Yes - Unknown #,Unknown
ITRC20150824-06,web.com,FL,Business,Yes - Published #,93000
ITRC20150824-04,AutoZone,TN,Business,Yes - Published #,49967
ITRC20150824-03,Volkswagen of Oakland (M&M Automotive Group),CA,Business,Yes - Unknown #,Unknown
ITRC20150824-02,Buyers Protection Group,GA,Business,Yes - Unknown #,Unknown
ITRC20150818-27,shorepowerinc.com,CT,Business,Yes - Unknown #,Unknown
ITRC20150818-23,Fahrenheit Group,VA,Business,Yes - Unknown #,Unknown
ITRC20150818-22,Aon Hewitt / Unum,IL,Business,Yes - Unknown #,Unknown
ITRC20150818-21,Nexient LLC,CA,Business,Yes - Unknown #,Unknown
ITRC20150818-20,Mid-Atlantic German Shepherd Rescue Association / C,DC,Business,Yes - Unknown #,Unknown
ITRC20150818-19,Collected Intelligence,NY,Business,Yes - Unknown #,Unknown
ITRC20150818-18,T. Rowe Price Retirement Plan Services,MD,Business,Yes - Unknown #,Unknown
ITRC20150818-17,State Farm,IL,Business,Yes - Unknown #,Unknown
ITRC20150818-15,Allegis Group,MD,Business,Yes - Unknown #,Unknown
ITRC20150818-14,Asbury Methodist Village Continuing Care Retirement,MD,Business,Yes - Unknown #,Unknown
ITRC20150818-12,Mid-America Apartment Communities,TN,Business,Yes - Unknown #,Unknown
ITRC20150818-10,CF Industries,IL,Business,Yes - Unknown #,Unknown
ITRC20150818-07,Metropolitan Hospitality Group,VA,Business,Yes - Unknown #,Unknown
ITRC20150818-06,Defiance Metal Products Co. 401K Plan & Trust / Asce,PA,Business,Yes - Unknown #,Unknown
ITRC20150818-04,Lee's Deli (Sterling M. Enterprises),CA,Business,Yes - Unknown #,Unknown
ITRC20150811-03,Mohu / Green Wave Scientific,NC,Business,Yes - Published #,2500
ITRC20150811-02,SterlingBackcheck,NY,Business,Yes - Published #,100000
ITRC20150806-01,Mama Mio US,CA,Business,Yes - Unknown #,Unknown
ITRC20150804-10,Tremco,OH,Business,Yes - Unknown #,Unknown
ITRC20150804-01,Orange County Employees Association,CA,Business,Yes - Unknown #,Unknown
ITRC20150730-02,"Hanesbrands, Inc.",NC,Business,Yes - Unknown #,Unknown
ITRC20150728-13,North Dakota Worker's Compensation,ND,Business,Yes - Unknown #,Unknown
ITRC20150728-05,Vision Nissan,NY,Business,Yes - Unknown #,Unknown
